,previous_cycle_count_IVF,previous_cycle_count_DI,total_previous_pregnancy_count,total_previous_live_birth_count,infertility_tubal_disease,infertility_ovulation_disorder,infertility_male_factor,infertility_patient_unexplained,infertility_endometriosis,stimulation_used,donated_embryo,PGD_treatment,PGS_treatment,single_embro_transfer,fresh_cycle,frozen_cycle,eggs_thawed,fresh_eggs_collected,fresh_eggs_stored,total_eggs_mixed,total_embryos_created,total_embryos_thawed,embryos_transferred,embryos_transferred_eggs_micro_injected,embryos_stored_fore_use_by_patient,days_to_embryo_transfer,year_of_treatment,live_birth_occurance,number_of_live_births,foetal_sacs_fetal_pulsation_count,heart_one_delivery_date,heart_one_congenital_abnormalities,heart_two_delivery_date,heart_two_congenital_abnormalities,heart_three_delivery_date,heart_three_congenital_abnormalities
previous_cycle_count_IVF,1.0,-0.14688901513275684,0.3855403108105154,0.31399535999077444,0.07703197218440147,0.04816247804285762,-0.05857008513132838,0.037356715418027896,0.018311241132837795,-0.2010429984428812,0.0445309623944799,0.02702956776879569,0.06518563580826464,-0.027719319802071738,-0.08440140396128382,0.3538359075093171,0.01745247271962461,-0.07676228780955242,-0.026505780905387084,-0.06338230870132215,-0.04678854863233772,0.2765603385262677,0.21485520491230503,0.05478283135669302,-0.04903835086861657,-0.005901620958894913,0.13034044099156428,-0.0026092508237477814,0.000214194296119326,0.005528665264890373,-0.014542441704177424,-0.0009099205253969321,-0.03850880561127079,,-0.021648448258498973,
previous_cycle_count_DI,-0.14688901513275684,1.0,0.12787288270217262,0.10252736870283168,-0.15703910624002396,-0.10918012799050648,0.24530917086286824,-0.16319657345195243,-0.07903294153079472,-0.14792453583268994,0.017033549092248256,-0.023513367408808293,-0.019350208144429344,-0.10805265521496268,-0.40289843840179707,-0.1303896773958553,-0.0015715264574034536,-0.25050430725113343,-0.020546997848519665,-0.25041072621950844,-0.23232195380673673,-0.10227034749506592,-0.3568170315077256,-0.03493741081410179,-0.11117569681044477,-0.2517815858982557,-0.30631495966299593,-0.08311608096318808,-0.0814687664881461,-0.08815792098742894,0.02330418574446989,-0.010567749121577676,0.01093319572343288,,-0.032386274804963304,
total_previous_pregnancy_count,0.3855403108105154,0.12787288270217262,1.0,0.8239579975234826,-0.011013586371328578,0.004675105116503631,0.020453359123031627,-0.028747347037042847,-0.01459085140805756,-0.16956110859017504,0.007972163951632211,0.006556381415927037,0.023384838463542168,0.015077294748264799,-0.17786386470065152,0.20461471448977028,-0.0019363242116036635,-0.10745074014595933,-0.01827464611507637,-0.10825257666749265,-0.09247376210768399,0.1546835975996467,-0.0005882410965999845,0.028165039086657125,-0.056095640467105676,-0.054918376447721726,0.07115619212388512,0.02726688947367783,0.021836694963779036,0.026171771347718885,-0.006835598625197882,0.004034706397669163,-0.013782960410518814,,-0.024358296090455072,
total_previous_live_birth_count,0.31399535999077444,0.10252736870283168,0.8239579975234826,1.0,-0.016084104311533367,0.001054825983790815,0.02556557647133416,-0.030554996148464828,-0.014576370153970307,-0.1626001464849517,0.0022661709295203987,0.006221929155556727,0.007824794146884986,0.024930735762187285,-0.1708346280903823,0.19967989853473522,-0.0033043343813552615,-0.1002437138113183,-0.015543680469084102,-0.10458855104564281,-0.09091098319478987,0.1559619559854731,-0.011718755241323039,0.03043437663868958,-0.05425553953723148,-0.047793450763288226,0.08490618191924694,0.03244678012684623,0.02646022858630006,0.027180153356470147,-0.006843884671865369,0.004991828298408599,-0.012264332103341491,,-0.042957488206794014,
infertility_tubal_disease,0.07703197218440147,-0.15703910624002396,-0.011013586371328578,-0.016084104311533367,1.0,-0.05664965027101649,-0.1681309063837671,-0.24298083414562593,0.022618957312439802,0.07168104782147687,-0.02390385007448583,-0.026016613698692643,-0.01610530963355777,-0.0359631164789919,0.11925805225473973,0.0431228171960279,-0.013147029346026406,0.07703672692088874,-0.021337527729371083,0.0955273219675635,0.09784759418230131,0.0167492746015888,0.19695595581661557,-0.1817087044629569,0.0474135197127077,-0.021760865059214558,-0.13803706437262417,-0.008797463769545507,-0.0020288894607262604,0.0005067856453558643,0.025984544816083914,0.003725373953165219,0.022593420375892084,,0.029397214184528838,
infertility_ovulation_disorder,0.04816247804285762,-0.10918012799050648,0.004675105116503631,0.001054825983790815,-0.05664965027101649,1.0,-0.08274281650395254,-0.16971550138003466,-0.016005143057586123,-0.011972953509663683,0.012337627899777635,-0.014528700021369842,-0.0007233793276237641,0.038068022575872607,0.06022553050155987,0.06301177980175406,-0.008054544771418974,0.06953552773521957,-0.01373569882075935,0.09170327425449742,0.08165955328697856,0.060651809943114594,0.08372107037128552,-0.03936208800599415,0.06344587234422719,0.046221435951884306,0.03931977743416415,0.03152757807083017,0.03232925555530494,0.03679428691497367,-0.0018962195369368288,0.011041394004790775,0.002559767791338179,,-0.02479618156594515,
infertility_male_factor,-0.05857008513132838,0.24530917086286824,0.020453359123031627,0.02556557647133416,-0.1681309063837671,-0.08274281650395254,1.0,-0.28618065938886783,-0.07284410480866807,-0.026615834569591185,-0.024949365701442978,-0.049662109252639586,-0.028172024610644168,-0.08525857875358661,-0.14219641614273174,-0.07733223319602689,-0.014370027920425478,-0.05339685614305468,-0.042077926966462544,-0.08848754413547139,-0.09148873573957936,-0.08011666273366305,-0.07307590072081623,0.2630611645865663,-0.06090326469106611,-0.16457099172636175,-0.3517089293970147,-0.023797438465653874,-0.01984856296775152,-0.024801626874827745,0.03432705831211407,-0.0026839232959017523,0.026619987131795697,,0.03967141732458173,
infertility_patient_unexplained,0.037356715418027896,-0.16319657345195243,-0.028747347037042847,-0.030554996148464828,-0.24298083414562593,-0.16971550138003466,-0.28618065938886783,1.0,-0.11749895362788372,0.09629991878427206,-0.029037295228383962,-0.028676085125012157,0.019826042188567816,0.028775830819308484,0.16039534710523884,0.03653073937259062,-0.0035007256580341112,0.09373115990106835,-0.022380909861497652,0.10939661116881068,0.08565563895496293,0.008904138323589607,0.15719193065058568,-0.15671227931292556,0.03364791758912985,0.0613384485586532,0.03869001780272059,0.024747117453955532,0.0264299681929844,0.029563664409348295,-0.009393516906827938,0.0019001236637830575,-0.008406314342513462,,0.0243648798113535,
infertility_endometriosis,0.018311241132837795,-0.07903294153079472,-0.01459085140805756,-0.014576370153970307,0.022618957312439802,-0.016005143057586123,-0.07284410480866807,-0.11749895362788372,1.0,0.046470519741077354,-0.01059049103076181,-0.013618446863424366,-0.007150019409381574,0.009506731262945331,0.07461766121069792,0.007586396088718801,-0.005517030827139712,0.022353662594616356,-0.01011631158858059,0.03253658369951168,0.029631399533825636,-0.0015182599871370573,0.07074692235797674,-0.060809369116877496,0.008064525433565242,0.0249707545936987,0.005499426691816214,0.010702488011073017,0.011959824814420072,0.012543176464778743,0.0018189719972536555,-0.002892401853082236,0.004506974183877445,,0.012616299406964791,
stimulation_used,-0.2010429984428812,-0.14792453583268994,-0.16956110859017504,-0.1626001464849517,0.07168104782147687,-0.011972953509663683,-0.026615834569591185,0.09629991878427206,0.046470519741077354,1.0,-0.1056040009408771,-0.02226858615973146,-0.01600208250029544,-0.008192221044712426,0.7535366617677723,-0.6756117558234751,-0.056757006110105174,0.5573614236294595,0.03741296718323563,0.4969123833835969,0.4545541045275397,-0.5123243578556387,0.16175521086388955,0.12191354700646698,0.2000026861094557,0.3810715354176811,0.015649258261492438,0.039078850631415654,0.04970449931862314,0.052645695265887714,0.053061998457909675,0.01012309105114672,0.061762331163478026,,0.06356639256725573,
donated_embryo,0.0445309623944799,0.017033549092248256,0.007972163951632211,0.0022661709295203987,-0.02390385007448583,0.012337627899777635,-0.024949365701442978,-0.029037295228383962,-0.01059049103076181,-0.1056040009408771,1.0,-0.004447998685763456,0.0008764935172470253,0.029295707575429965,-0.024847789575556268,0.06278511220833721,0.02530909037352941,-0.057054696123710016,-0.004299964593215891,-0.012292055244372468,-0.008817105638711954,0.03973983995846715,0.024491693983527334,-0.01905278352934843,-0.0006364876385857,0.007780971417682099,0.021048643064318827,0.016791627772226713,0.015470923384693571,0.01674570885741343,-0.01027448060642354,-0.00195696563493736,-0.010435615972343742,,0.008583484992048867,
PGD_treatment,0.02702956776879569,-0.023513367408808293,0.006556381415927037,0.006221929155556727,-0.026016613698692643,-0.014528700021369842,-0.049662109252639586,-0.028676085125012157,-0.013618446863424366,-0.02226858615973146,-0.004447998685763456,1.0,-0.0041824685881378335,0.051069465097010734,-0.016490454749245577,0.04943230406171024,-0.0022074341537022374,0.006129239686400958,-0.003604125119488347,0.001732495934351131,0.006431402720963723,0.03206306295938316,-0.015918004334581907,0.021044726124592076,-0.011812362241092951,0.015304908462107645,0.04990837883246267,0.015303187875694154,0.010459071660760681,0.009869902486536807,-0.01624886357161584,-0.00094160563048402,0.0025585334628887724,,0.011659865206951293,
PGS_treatment,0.06518563580826464,-0.019350208144429344,0.023384838463542168,0.007824794146884986,-0.01610530963355777,-0.0007233793276237641,-0.028172024610644168,0.019826042188567816,-0.007150019409381574,-0.01600208250029544,0.0008764935172470253,-0.0041824685881378335,1.0,0.031776439948407245,-0.009976982563494672,0.03882831549889343,0.00033742002272539845,0.007706065513843465,-0.0035296627538961844,0.006082234072258168,0.012303500557976802,0.04145808238857303,-0.016736062742598427,0.006566667621463623,-0.007802082088132167,0.011256970024899539,0.05277430598885577,0.009064460460321807,0.006300140791302126,0.006721149258144736,-0.002894994580789878,-0.001116659711708351,-0.00670439291452026,,0.010231967926457653,
single_embro_transfer,-0.027719319802071738,-0.10805265521496268,0.015077294748264799,0.024930735762187285,-0.0359631164789919,0.038068022575872607,-0.08525857875358661,0.028775830819308484,0.009506731262945331,-0.008192221044712426,0.029295707575429965,0.051069465097010734,0.031776439948407245,1.0,0.049057607532351014,0.08693483748358638,0.008311210152993265,0.10026277442406495,-0.01897540738352351,0.115533771708374,0.13161656502128335,0.050625405653600755,-0.09905912134423976,-0.03297202872432498,0.1047844465776902,0.35873166412254603,0.3528442871781955,0.13737759137400088,0.08586434330712991,0.0853267737535568,-0.12886556981629776,-0.010820616220627195,-0.03701353204373639,,-0.02276021207506711,
fresh_cycle,-0.08440140396128382,-0.40289843840179707,-0.17786386470065152,-0.1708346280903823,0.11925805225473973,0.06022553050155987,-0.14219641614273174,0.16039534710523884,0.07461766121069792,0.7535366617677723,-0.024847789575556268,-0.016490454749245577,-0.009976982563494672,0.049057607532351014,1.0,-0.6422208787883973,0.0200801338760364,0.6209561966829737,0.041067164607403624,0.62690016604944,0.5792760116468353,-0.4813221605440958,0.33738265704260406,0.12916410525318578,0.266381807923004,0.5196994536038134,0.1481320779152641,0.07923256100453592,0.08913016479782827,0.09541467835118983,0.04514978816598403,0.015729438497705885,0.06659222954267098,,0.0967958838225413,
frozen_cycle,0.3538359075093171,-0.1303896773958553,0.20461471448977028,0.19967989853473522,0.0431228171960279,0.06301177980175406,-0.07733223319602689,0.03653073937259062,0.007586396088718801,-0.6756117558234751,0.06278511220833721,0.04943230406171024,0.03882831549889343,0.08693483748358638,-0.6422208787883973,1.0,-0.019501056324084554,-0.3991181777463504,-0.026436190613573475,-0.40300142908139464,-0.37282555585173055,0.747316408896684,0.13460226112398277,-0.12888848323466942,-0.16688547240058596,-0.2901261885579107,0.15226372055076123,0.01688026381204658,0.005984529771278641,0.008022825356293832,-0.0659765713648869,-0.005012661922006994,-0.07160635913904498,,-0.06213466424793511,
eggs_thawed,0.01745247271962461,-0.0015715264574034536,-0.0019363242116036635,-0.0033043343813552615,-0.013147029346026406,-0.008054544771418974,-0.014370027920425478,-0.0035007256580341112,-0.005517030827139712,-0.056757006110105174,0.02530909037352941,-0.0022074341537022374,0.00033742002272539845,0.008311210152993265,0.0200801338760364,-0.019501056324084554,1.0,-0.03492082306515466,-0.00013413192381853974,0.007517173718046255,0.0062462088025045555,-0.014310621870564194,-0.005376611692094058,0.034828056461308,-0.0008446822214709974,0.03057603514728548,0.03249649183631618,0.0013060675137762726,0.00019954454880681568,0.0010261502295882037,-0.032158690508905775,-0.0021948690812732545,-0.03285721534800842,,0.005258534725153926,
fresh_eggs_collected,-0.07676228780955242,-0.25050430725113343,-0.10745074014595933,-0.1002437138113183,0.07703672692088874,0.06953552773521957,-0.05339685614305468,0.09373115990106835,0.022353662594616356,0.5573614236294595,-0.057054696123710016,0.006129239686400958,0.007706065513843465,0.10026277442406495,0.6209561966829737,-0.3991181777463504,-0.03492082306515466,1.0,0.0735723769636397,0.9229551233823645,0.8341350080092931,-0.29851007693952175,0.30958289022145424,0.13016603066117216,0.5382765874001624,0.43891097606786716,0.0973413640758389,0.13293104439819423,0.13985164717090529,0.14713090082298458,0.03961328810403261,0.02240174453311236,0.05046631734658361,,0.05608737226192778,
fresh_eggs_stored,-0.026505780905387084,-0.020546997848519665,-0.01827464611507637,-0.015543680469084102,-0.021337527729371083,-0.01373569882075935,-0.042077926966462544,-0.022380909861497652,-0.01011631158858059,0.03741296718323563,-0.004299964593215891,-0.003604125119488347,-0.0035296627538961844,-0.01897540738352351,0.041067164607403624,-0.026436190613573475,-0.00013413192381853974,0.0735723769636397,1.0,-0.04508090209815327,-0.04172538602586617,-0.019840569642191854,-0.0700184950905625,-0.03945369521862624,-0.017091392641182156,-0.04415480637195164,0.04622401958934666,-0.027412918224823044,-0.025502458039851614,-0.027491758288703906,0.0010171718053818659,-0.002825071115251949,-0.00019652538944006038,,0.001718388134251589,
total_eggs_mixed,-0.06338230870132215,-0.25041072621950844,-0.10825257666749265,-0.10458855104564281,0.0955273219675635,0.09170327425449742,-0.08848754413547139,0.10939661116881068,0.03253658369951168,0.4969123833835969,-0.012292055244372468,0.001732495934351131,0.006082234072258168,0.115533771708374,0.62690016604944,-0.40300142908139464,0.007517173718046255,0.9229551233823645,-0.04508090209815327,1.0,0.90123149218575,-0.3015098925826916,0.34390945492043523,0.07227492943589857,0.5884924951107072,0.46763083222387314,0.07679302019575274,0.14982779072131483,0.15663834678102176,0.16535296790055617,0.03744274677291074,0.02634010853745645,0.05317866623780792,,0.0615003807928671,
total_embryos_created,-0.04678854863233772,-0.23232195380673673,-0.09247376210768399,-0.09091098319478987,0.09784759418230131,0.08165955328697856,-0.09148873573957936,0.08565563895496293,0.029631399533825636,0.4545541045275397,-0.008817105638711954,0.006431402720963723,0.012303500557976802,0.13161656502128335,0.5792760116468353,-0.37282555585173055,0.0062462088025045555,0.8341350080092931,-0.04172538602586617,0.90123149218575,1.0,-0.2786612268478333,0.36774651433811034,0.10983394728333484,0.650452365041885,0.4916286338356953,0.08499045360665938,0.17467581649246836,0.18195053256573582,0.19221305713836245,0.035967012534733035,0.033945271284137636,0.052697268068460285,,0.06491779534115043,
total_embryos_thawed,0.2765603385262677,-0.10227034749506592,0.1546835975996467,0.1559619559854731,0.0167492746015888,0.060651809943114594,-0.08011666273366305,0.008904138323589607,-0.0015182599871370573,-0.5123243578556387,0.03973983995846715,0.03206306295938316,0.04145808238857303,0.050625405653600755,-0.4813221605440958,0.747316408896684,-0.014310621870564194,-0.29851007693952175,-0.019840569642191854,-0.3015098925826916,-0.2786612268478333,1.0,0.11584841754560392,-0.048430749452754544,-0.11332039041410434,-0.15419893458108483,0.16218995740512382,0.023632225027266786,0.017050455568845817,0.018659943627365574,-0.0031896365739946335,0.00109657522324382,-0.03245893253004418,,-0.02626969309984671,
embryos_transferred,0.21485520491230503,-0.3568170315077256,-0.0005882410965999845,-0.011718755241323039,0.19695595581661557,0.08372107037128552,-0.07307590072081623,0.15719193065058568,0.07074692235797674,0.16175521086388955,0.024491693983527334,-0.015918004334581907,-0.016736062742598427,-0.09905912134423976,0.33738265704260406,0.13460226112398277,-0.005376611692094058,0.30958289022145424,-0.0700184950905625,0.34390945492043523,0.36774651433811034,0.11584841754560392,1.0,0.278461182134202,0.024784879902153705,0.3394833628618536,-0.04634503628694901,0.1882809708556592,0.20848372349888653,0.2302530646700022,0.08363073550438492,0.03160590264785304,0.036995438433559805,,0.10686120543068278,
embryos_transferred_eggs_micro_injected,0.05478283135669302,-0.03493741081410179,0.028165039086657125,0.03043437663868958,-0.1817087044629569,-0.03936208800599415,0.2630611645865663,-0.15671227931292556,-0.060809369116877496,0.12191354700646698,-0.01905278352934843,0.021044726124592076,0.006566667621463623,-0.03297202872432498,0.12916410525318578,-0.12888848323466942,0.034828056461308,0.13016603066117216,-0.03945369521862624,0.07227492943589857,0.10983394728333484,-0.048430749452754544,0.278461182134202,1.0,-0.059092535427113534,0.38411553353102373,0.1861726767432163,0.09921529842629893,0.09725568098298694,0.1029638033731855,0.05148218914351694,0.014996298075521747,0.01701803901940965,,-0.0015854940941599398,
embryos_stored_fore_use_by_patient,-0.04903835086861657,-0.11117569681044477,-0.056095640467105676,-0.05425553953723148,0.0474135197127077,0.06344587234422719,-0.06090326469106611,0.03364791758912985,0.008064525433565242,0.2000026861094557,-0.0006364876385857,-0.011812362241092951,-0.007802082088132167,0.1047844465776902,0.266381807923004,-0.16688547240058596,-0.0008446822214709974,0.5382765874001624,-0.017091392641182156,0.5884924951107072,0.650452365041885,-0.11332039041410434,0.024784879902153705,-0.059092535427113534,1.0,0.131144559136582,0.05198554050838489,0.07494987526716193,0.0776638405241354,0.07899723089545824,0.008745583506450296,0.011695761646884363,0.030710737546607133,,0.01975493627165897,
days_to_embryo_transfer,-0.005901620958894913,-0.2517815858982557,-0.054918376447721726,-0.047793450763288226,-0.021760865059214558,0.046221435951884306,-0.16457099172636175,0.0613384485586532,0.0249707545936987,0.3810715354176811,0.007780971417682099,0.015304908462107645,0.011256970024899539,0.35873166412254603,0.5196994536038134,-0.2901261885579107,0.03057603514728548,0.43891097606786716,-0.04415480637195164,0.46763083222387314,0.4916286338356953,-0.15419893458108483,0.3394833628618536,0.38411553353102373,0.131144559136582,1.0,0.42724934207086035,0.23127616090643435,0.2125587079059332,0.22441004803564585,-0.04796631561764446,0.022278706172282562,-0.03201814795523837,,-0.022131594421945212,
year_of_treatment,0.13034044099156428,-0.30631495966299593,0.07115619212388512,0.08490618191924694,-0.13803706437262417,0.03931977743416415,-0.3517089293970147,0.03869001780272059,0.005499426691816214,0.015649258261492438,0.021048643064318827,0.04990837883246267,0.05277430598885577,0.3528442871781955,0.1481320779152641,0.15226372055076123,0.03249649183631618,0.0973413640758389,0.04622401958934666,0.07679302019575274,0.08499045360665938,0.16218995740512382,-0.04634503628694901,0.1861726767432163,0.05198554050838489,0.42724934207086035,1.0,0.1147787878870678,0.08753228605936954,0.09193683541099515,-0.18353143263355137,-0.010928472257084331,-0.16226489138085465,,-0.17988960466034662,
live_birth_occurance,-0.0026092508237477814,-0.08311608096318808,0.02726688947367783,0.03244678012684623,-0.008797463769545507,0.03152757807083017,-0.023797438465653874,0.024747117453955532,0.010702488011073017,0.039078850631415654,0.016791627772226713,0.015303187875694154,0.009064460460321807,0.13737759137400088,0.07923256100453592,0.01688026381204658,0.0013060675137762726,0.13293104439819423,-0.027412918224823044,0.14982779072131483,0.17467581649246836,0.023632225027266786,0.1882809708556592,0.09921529842629893,0.07494987526716193,0.23127616090643435,0.1147787878870678,1.0,0.9332833969913006,0.8536418834131642,,0.1090846027622359,,,,
number_of_live_births,0.000214194296119326,-0.0814687664881461,0.021836694963779036,0.02646022858630006,-0.0020288894607262604,0.03232925555530494,-0.01984856296775152,0.0264299681929844,0.011959824814420072,0.04970449931862314,0.015470923384693571,0.010459071660760681,0.006300140791302126,0.08586434330712991,0.08913016479782827,0.005984529771278641,0.00019954454880681568,0.13985164717090529,-0.025502458039851614,0.15663834678102176,0.18195053256573582,0.017050455568845817,0.20848372349888653,0.09725568098298694,0.0776638405241354,0.2125587079059332,0.08753228605936954,0.9332833969913006,1.0,0.9118933312351448,0.0412521334199153,0.10609541802658166,0.03623538082606843,,0.08035776594418391,
foetal_sacs_fetal_pulsation_count,0.005528665264890373,-0.08815792098742894,0.026171771347718885,0.027180153356470147,0.0005067856453558643,0.03679428691497367,-0.024801626874827745,0.029563664409348295,0.012543176464778743,0.052645695265887714,0.01674570885741343,0.009869902486536807,0.006721149258144736,0.0853267737535568,0.09541467835118983,0.008022825356293832,0.0010261502295882037,0.14713090082298458,-0.027491758288703906,0.16535296790055617,0.19221305713836245,0.018659943627365574,0.2302530646700022,0.1029638033731855,0.07899723089545824,0.22441004803564585,0.09193683541099515,0.8536418834131642,0.9118933312351448,1.0,0.04034974956763652,0.09718145912430487,0.01380211203730354,,0.05731038455856411,
heart_one_delivery_date,-0.014542441704177424,0.02330418574446989,-0.006835598625197882,-0.006843884671865369,0.025984544816083914,-0.0018962195369368288,0.03432705831211407,-0.009393516906827938,0.0018189719972536555,0.053061998457909675,-0.01027448060642354,-0.01624886357161584,-0.002894994580789878,-0.12886556981629776,0.04514978816598403,-0.0659765713648869,-0.032158690508905775,0.03961328810403261,0.0010171718053818659,0.03744274677291074,0.035967012534733035,-0.0031896365739946335,0.08363073550438492,0.05148218914351694,0.008745583506450296,-0.04796631561764446,-0.18353143263355137,,0.0412521334199153,0.04034974956763652,1.0,0.023841610344865764,0.9991781298233341,,0.9782422256563807,
heart_one_congenital_abnormalities,-0.0009099205253969321,-0.010567749121577676,0.004034706397669163,0.004991828298408599,0.003725373953165219,0.011041394004790775,-0.0026839232959017523,0.0019001236637830575,-0.002892401853082236,0.01012309105114672,-0.00195696563493736,-0.00094160563048402,-0.001116659711708351,-0.010820616220627195,0.015729438497705885,-0.005012661922006994,-0.0021948690812732545,0.02240174453311236,-0.002825071115251949,0.02634010853745645,0.033945271284137636,0.00109657522324382,0.03160590264785304,0.014996298075521747,0.011695761646884363,0.022278706172282562,-0.010928472257084331,0.1090846027622359,0.10609541802658166,0.09718145912430487,0.023841610344865764,1.0,0.018848569274257602,,0.01269256649667302,
heart_two_delivery_date,-0.03850880561127079,0.01093319572343288,-0.013782960410518814,-0.012264332103341491,0.022593420375892084,0.002559767791338179,0.026619987131795697,-0.008406314342513462,0.004506974183877445,0.061762331163478026,-0.010435615972343742,0.0025585334628887724,-0.00670439291452026,-0.03701353204373639,0.06659222954267098,-0.07160635913904498,-0.03285721534800842,0.05046631734658361,-0.00019652538944006038,0.05317866623780792,0.052697268068460285,-0.03245893253004418,0.036995438433559805,0.01701803901940965,0.030710737546607133,-0.03201814795523837,-0.16226489138085465,,0.03623538082606843,0.01380211203730354,0.9991781298233341,0.018848569274257602,1.0,,0.999999985227108,
heart_two_congenital_abnormalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart_three_delivery_date,-0.021648448258498973,-0.032386274804963304,-0.024358296090455072,-0.042957488206794014,0.029397214184528838,-0.02479618156594515,0.03967141732458173,0.0243648798113535,0.012616299406964791,0.06356639256725573,0.008583484992048867,0.011659865206951293,0.010231967926457653,-0.02276021207506711,0.0967958838225413,-0.06213466424793511,0.005258534725153926,0.05608737226192778,0.001718388134251589,0.0615003807928671,0.06491779534115043,-0.02626969309984671,0.10686120543068278,-0.0015854940941599398,0.01975493627165897,-0.022131594421945212,-0.17988960466034662,,0.08035776594418391,0.05731038455856411,0.9782422256563807,0.01269256649667302,0.999999985227108,,1.0,
heart_three_congenital_abnormalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
